Date,Close,Open,Low,High,Volume
2022-10-16,19268.09375,19068.9140625,19068.9140625,19389.603515625,17988916650
2022-10-17,19550.7578125,19268.5625,19173.333984375,19635.802734375,27472552998
2022-10-18,19334.416015625,19550.466796875,19144.76953125,19666.994140625,30580012344
2022-10-19,19139.53515625,19335.02734375,19127.6875,19348.416015625,22425387184
2022-10-20,19053.740234375,19138.0859375,18971.458984375,19315.19921875,24493974420
2022-10-21,19172.46875,19053.203125,18770.970703125,19237.384765625,32459287866
2022-10-22,19208.189453125,19172.380859375,19132.244140625,19248.068359375,16104440957
2022-10-23,19567.0078125,19207.734375,19124.197265625,19646.65234375,22128794335
2022-10-24,19345.572265625,19567.76953125,19206.32421875,19589.125,30202235805
2022-10-25,20095.857421875,19344.96484375,19261.447265625,20348.412109375,47761524910
2022-10-26,20770.44140625,20092.236328125,20076.1171875,20938.134765625,58895950537
2022-10-27,20285.8359375,20772.802734375,20255.373046875,20854.044921875,49625110402
2022-10-28,20595.3515625,20287.95703125,20086.068359375,20724.98046875,43994715910
2022-10-29,20818.4765625,20595.103515625,20566.484375,20988.39453125,40369840645
2022-10-30,20635.603515625,20817.982421875,20547.462890625,20917.005859375,31486345556
2022-10-31,20495.7734375,20633.6953125,20287.458984375,20795.3203125,45668466815
2022-11-01,20485.2734375,20494.8984375,20359.845703125,20647.2890625,39819303159
2022-11-02,20159.50390625,20482.958984375,20087.134765625,20742.810546875,55552169483
2022-11-03,20209.98828125,20162.689453125,20086.240234375,20382.095703125,43228750179
2022-11-04,21147.23046875,20208.76953125,20188.01953125,21209.560546875,64072727950
2022-11-05,21282.69140625,21144.83203125,21097.634765625,21446.88671875,37846047609
2022-11-06,20926.486328125,21285.056640625,20920.19140625,21345.376953125,35082693210
2022-11-07,20602.81640625,20924.62109375,20489.97265625,21053.24609375,53510852236
2022-11-08,18541.271484375,20600.671875,17603.544921875,20664.607421875,118992465607
2022-11-09,15880.7802734375,18543.76171875,15682.6923828125,18590.458984375,102905151606
2022-11-10,17586.771484375,15883.158203125,15834.0185546875,18054.3125,83202283721
2022-11-11,17034.29296875,17583.251953125,16543.482421875,17650.943359375,55871616488
2022-11-12,16799.185546875,17036.875,16651.775390625,17066.67578125,29717699419
2022-11-13,16353.365234375,16799.72265625,16320.634765625,16920.765625,27209183682
2022-11-14,16618.19921875,16352.0283203125,15872.94140625,17109.32421875,49630243054
2022-11-15,16884.61328125,16617.484375,16542.55078125,17051.962890625,36599436183
2022-11-16,16669.439453125,16884.341796875,16430.111328125,16960.294921875,33925512989
